127.0.0.1 - - [01/Feb/2021:15:55:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:55:35 +0900] "GET /demo/ticketing HTTP/1.1" 200 25660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:55:35 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15607
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:55:35 +0900] "GET /demo/resources/css/reset.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:55:35 +0900] "GET /demo/resources/css/ticketing.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:55:35 +0900] "GET /demo/resources/lib/jquery-3.5.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:57:29 +0900] "GET /demo/ticketing HTTP/1.1" 200 25660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:57:29 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15644
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:58:34 +0900] "GET /demo/ticketing HTTP/1.1" 200 25660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:15:58:34 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15607
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:00:30 +0900] "GET /demo/ticketing HTTP/1.1" 200 25660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:00:30 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15651
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:00:47 +0900] "GET /demo/ticketing HTTP/1.1" 200 25660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:00:47 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:03:58 +0900] "GET /demo/ticketing HTTP/1.1" 200 25660
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:03:58 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15650
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:18 +0900] "GET /demo/ticketing HTTP/1.1" 200 25681
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:18 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15607
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:38 +0900] "GET /demo/ticketing HTTP/1.1" 200 25681
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:38 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:43 +0900] "GET /demo/ticketing HTTP/1.1" 200 25681
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:43 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:46 +0900] "GET /demo/ticketing HTTP/1.1" 200 25681
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:50 +0900] "GET /demo/ticketing HTTP/1.1" 200 25681
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:50 +0900] "GET /demo/resources/css/ticketing.css HTTP/1.1" 200 14687
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:50 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15607
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:50 +0900] "GET /demo/resources/lib/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:50 +0900] "GET /demo/resources/css/reset.css HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:05:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:06:11 +0900] "GET /demo/ticketing HTTP/1.1" 200 25687
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:06:11 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:08:21 +0900] "GET /demo/ticketing HTTP/1.1" 200 25687
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:08:21 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:09:58 +0900] "GET /demo/ticketing HTTP/1.1" 200 25810
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:09:58 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:09:59 +0900] "GET /demo/ticketing HTTP/1.1" 200 25810
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:09:59 +0900] "GET /demo/resources/js/ticketing.js HTTP/1.1" 200 15607
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:09:59 +0900] "GET /demo/resources/css/reset.css HTTP/1.1" 200 177
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:09:59 +0900] "GET /demo/resources/lib/jquery-3.5.1.min.js HTTP/1.1" 200 89478
0:0:0:0:0:0:0:1 - - [01/Feb/2021:16:09:59 +0900] "GET /demo/resources/css/ticketing.css HTTP/1.1" 200 14687
