127.0.0.1 - - [19/Feb/2021:15:49:47 +0900] "GET / HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:12 +0900] "GET / HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:24 +0900] "GET /reserve HTTP/1.1" 200 7304
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:24 +0900] "GET /resources/css/reserve.css HTTP/1.1" 200 7891
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:24 +0900] "GET /resources/css/layer_popup.css HTTP/1.1" 200 987
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:24 +0900] "GET /resources/css/reset.css HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:24 +0900] "GET /resources/css/header.css HTTP/1.1" 200 2706
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:24 +0900] "GET /resources/js/reserve.js HTTP/1.1" 200 7209
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:29 +0900] "GET /api/getDailyBoxOffice HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:50 +0900] "GET /reserve HTTP/1.1" 200 7304
0:0:0:0:0:0:0:1 - - [19/Feb/2021:15:50:54 +0900] "GET /api/getDailyBoxOffice HTTP/1.1" 200 425
